id,hex,name,rws,type,unit,scale,min,max,desc,rule,default,auth
58,0x3A,MeasFast:Speed,R,?uint,rpm,1,,,Speed computed from frequency and Motor:Poles,,,-
59,0x3B,MeasFast:CurrU,R,?uint,A,1000,,,Phase U current RMS,,,-
60,0x3C,MeasFast:CurrV,R,?uint,A,1000,,,Phase V current RMS,,,-
61,0x3D,MeasFast:CurrW,R,?uint,A,1000,,,Phase W current RMS,,,-
62,0x3E,MeasFast:CurrAvg,R,?uint,A,1000,,,Three-phase average current RMS,,,-
63,0x3F,MeasFast:PeakU,R,?uint,A,1000,,,Phase U peak-to-peak current,,,-
64,0x40,MeasFast:PeakV,R,?uint,A,1000,,,Phase V peak-to-peak current,,,-
65,0x41,MeasFast:PeakW,R,?uint,A,1000,,,Phase W peak-to-peak current,,,-
66,0x42,MeasFast:PeakMax,R,?uint,A,1000,,,Highest phase peak-to-peak current,,,-
67,0x43,MeasFast:Temp,R,?int,°C,100,,,Power stage temperature,,,-
68,0x44,MeasFast:ExTemp,R,?int,°C,100,,,External sensor temperature (PT100),,,-
69,0x45,MeasFast:DcBus,R,?uint,V,10,,,DC-bus voltage (rectifier output),,,-
70,0x46,MeasFast:Flyback,R,?uint,V,100,,,Flyback converter output voltage,,,-
71,0x47,MeasFast:Ripple,R,?uint,V,100,,,DC-bus voltage ripple RMS,,,-
72,0x48,MeasFast:Power,R,?uint,W,1,,,Estimated electrical power,,,-
73,0x49,MeasNow:Freq,R,?uint,Hz,100,,,Electrical output frequency; now tier = raw unfiltered values,,,-
74,0x4A,MeasNow:Speed,R,?uint,rpm,1,,,Speed computed from frequency and Motor:Poles,,,-
75,0x4B,MeasNow:CurrU,R,?uint,A,1000,,,Phase U current RMS,,,-
76,0x4C,MeasNow:CurrV,R,?uint,A,1000,,,Phase V current RMS,,,-
77,0x4D,MeasNow:CurrW,R,?uint,A,1000,,,Phase W current RMS,,,-
78,0x4E,MeasNow:CurrAvg,R,?uint,A,1000,,,Three-phase average current RMS,,,-
79,0x4F,MeasNow:PeakU,R,?uint,A,1000,,,Phase U peak-to-peak current,,,-
80,0x50,MeasNow:PeakV,R,?uint,A,1000,,,Phase V peak-to-peak current,,,-
81,0x51,MeasNow:PeakW,R,?uint,A,1000,,,Phase W peak-to-peak current,,,-
82,0x52,MeasNow:PeakMax,R,?uint,A,1000,,,Highest phase peak-to-peak current,,,-
83,0x53,MeasNow:Temp,R,?int,°C,100,,,Power stage temperature,,,-
84,0x54,MeasNow:ExTemp,R,?int,°C,100,,,External sensor temperature (PT100),,,-
85,0x55,MeasNow:DcBus,R,?uint,V,10,,,DC-bus voltage (rectifier output),,,-
86,0x56,MeasNow:Flyback,R,?uint,V,100,,,Flyback converter output voltage,,,-
87,0x57,MeasNow:Ripple,R,?uint,V,100,,,DC-bus voltage ripple RMS,,,-
88,0x58,MeasNow:Power,R,?uint,W,1,,,Estimated electrical power,,,-
89,0x59,EstimSlow:Angle,R,uint,-,1,,,Electrical rotor angle estimate; full turn = 65536,,,-
90,0x5A,EstimSlow:Id,R,?int,A,1000,,,Direct-axis current estimate,,,-
