id,hex,name,rws,type,unit,scale,min,max,desc,rule,default,auth
290,0x122,Journal:17Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 17 event code,,,-
291,0x123,Journal:17Hours,R,?uint,h,1,,,Journal entry 17 operating hours,,,-
292,0x124,Journal:18Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 18 event code,,,-
293,0x125,Journal:18Hours,R,?uint,h,1,,,Journal entry 18 operating hours,,,-
294,0x126,Journal:19Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 19 event code,,,-
295,0x127,Journal:19Hours,R,?uint,h,1,,,Journal entry 19 operating hours,,,-
296,0x128,Journal:20Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 20 event code,,,-
297,0x129,Journal:20Hours,R,?uint,h,1,,,Journal entry 20 operating hours,,,-
298,0x12A,Journal:21Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 21 event code,,,-
299,0x12B,Journal:21Hours,R,?uint,h,1,,,Journal entry 21 operating hours,,,-
300,0x12C,Journal:22Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 22 event code,,,-
301,0x12D,Journal:22Hours,R,?uint,h,1,,,Journal entry 22 operating hours,,,-
302,0x12E,Journal:23Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 23 event code,,,-
303,0x12F,Journal:23Hours,R,?uint,h,1,,,Journal entry 23 operating hours,,,-
304,0x130,Journal:24Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 24 event code,,,-
305,0x131,Journal:24Hours,R,?uint,h,1,,,Journal entry 24 operating hours,,,-
306,0x132,Journal:25Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 25 event code,,,-
307,0x133,Journal:25Hours,R,?uint,h,1,,,Journal entry 25 operating hours,,,-
308,0x134,Journal:26Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 26 event code,,,-
309,0x135,Journal:26Hours,R,?uint,h,1,,,Journal entry 26 operating hours,,,-
310,0x136,Journal:27Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 27 event code,,,-
311,0x137,Journal:27Hours,R,?uint,h,1,,,Journal entry 27 operating hours,,,-
312,0x138,Journal:28Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 28 event code,,,-
313,0x139,Journal:28Hours,R,?uint,h,1,,,Journal entry 28 operating hours,,,-
314,0x13A,Journal:29Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 29 event code,,,-
315,0x13B,Journal:29Hours,R,?uint,h,1,,,Journal entry 29 operating hours,,,-
316,0x13C,Journal:30Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 30 event code,,,-
317,0x13D,Journal:30Hours,R,?uint,h,1,,,Journal entry 30 operating hours,,,-
318,0x13E,Journal:31Event,R,?enum,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal entry 31 event code,,,-
319,0x13F,Journal:31Hours,R,?uint,h,1,,,Journal entry 31 operating hours,,,-
320,0x140,ModTab:2Hz,RWs,uint,m%,100,0,100,Modulation index at 2.05Hz,,7.8/5.0/5.5,admin
321,0x141,ModTab:4Hz,RWs,uint,m%,100,0,100,Modulation index at 4.10Hz,,8.26/6.5/7.5,admin
322,0x142,ModTab:6Hz,RWs,uint,m%,100,0,100,Modulation index at 6.15Hz,,8.72/7.5/9.0,admin
323,0x143,ModTab:8Hz,RWs,uint,m%,100,0,100,Modulation index at 8.19Hz,,9.17/9.0/11.0,admin
324,0x144,ModTab:10Hz,RWs,uint,m%,100,0,100,Modulation index at 10.24Hz,,9.64/10.0/13.0,admin
325,0x145,ModTab:12Hz,RWs,uint,m%,100,0,100,Modulation index at 12.29Hz,,10.12/11.0/15.0,admin
326,0x146,ModTab:14Hz,RWs,uint,m%,100,0,100,Modulation index at 14.34Hz,,10.59/12.5/18.0,admin
327,0x147,ModTab:16Hz,RWs,uint,m%,100,0,100,Modulation index at 16.39Hz,,11.03/14.0/21.0,admin
328,0x148,ModTab:18Hz,RWs,uint,m%,100,0,100,Modulation index at 18.43Hz,,11.51/15.5/23.0,admin
329,0x149,ModTab:20Hz,RWs,uint,m%,100,0,100,Modulation index at 20.48Hz,,12.04/17.0/25.0,admin
330,0x14A,ModTab:23Hz,RWs,uint,m%,100,0,100,Modulation index at 22.53Hz,,12.62/19.0/27.0,admin
331,0x14B,ModTab:25Hz,RWs,uint,m%,100,0,100,Modulation index at 24.58Hz,,13.18/20.0/29.0,admin
332,0x14C,ModTab:27Hz,RWs,uint,m%,100,0,100,Modulation index at 26.63Hz,,13.69/21.5/32.0,admin
333,0x14D,ModTab:29Hz,RWs,uint,m%,100,0,100,Modulation index at 28.68Hz,,14.28/23.0/35.0,admin
334,0x14E,ModTab:31Hz,RWs,uint,m%,100,0,100,Modulation index at 30.73Hz,,14.95/25.0/37.0,admin
335,0x14F,ModTab:33Hz,RWs,uint,m%,100,0,100,Modulation index at 32.77Hz,,15.7/26.0/40.0,admin
336,0x150,ModTab:35Hz,RWs,uint,m%,100,0,100,Modulation index at 34.82Hz,,16.52/28.0/43.0,admin
337,0x151,ModTab:37Hz,RWs,uint,m%,100,0,100,Modulation index at 36.87Hz,,17.38/30.0/46.0,admin
338,0x152,ModTab:39Hz,RWs,uint,m%,100,0,100,Modulation index at 38.92Hz,,18.23/31.0/49.0,admin
339,0x153,ModTab:41Hz,RWs,uint,m%,100,0,100,Modulation index at 40.97Hz,,19.1/32.0/52.0,admin
340,0x154,ModTab:43Hz,RWs,uint,m%,100,0,100,Modulation index at 43.02Hz,,19.98/34.0/55.0,admin
341,0x155,ModTab:45Hz,RWs,uint,m%,100,0,100,Modulation index at 45.07Hz,,20.85/36.0/59.0,admin
342,0x156,ModTab:47Hz,RWs,uint,m%,100,0,100,Modulation index at 47.12Hz,,21.78/38.0/62.0,admin
343,0x157,ModTab:49Hz,RWs,uint,m%,100,0,100,Modulation index at 49.17Hz,,22.68/40.0/65.0,admin
344,0x158,ModTab:51Hz,RWs,uint,m%,100,0,100,Modulation index at 51.22Hz,,23.5/41.25/68.0,admin
345,0x159,ModTab:53Hz,RWs,uint,m%,100,0,100,Modulation index at 53.27Hz,,24.33/42.5/71.0,admin
346,0x15A,ModTab:55Hz,RWs,uint,m%,100,0,100,Modulation index at 55.33Hz,,25.15/44.0/73.5,admin
347,0x15B,ModTab:57Hz,RWs,uint,m%,100,0,100,Modulation index at 57.38Hz,,25.93/46.0/75.5,admin
348,0x15C,ModTab:59Hz,RWs,uint,m%,100,0,100,Modulation index at 59.43Hz,,26.68/48.0/76.5,admin
349,0x15D,ModTab:61Hz,RWs,uint,m%,100,0,100,Modulation index at 61.49Hz,,27.46/49.0/77.5,admin
350,0x15E,ModTab:64Hz,RWs,uint,m%,100,0,100,Modulation index at 63.54Hz,,28.26/50.0/79.0,admin
351,0x15F,ModTab:66Hz,RWs,uint,m%,100,0,100,Modulation index at 65.60Hz,,29.06/52.0/79.5,admin
352,0x160,ModTab:68Hz,RWs,uint,m%,100,0,100,Modulation index at 67.65Hz,,29.8/54.0/80.0,admin
353,0x161,ModTab:70Hz,RWs,uint,m%,100,0,100,Modulation index at 69.71Hz,,30.54/55.0/80.5,admin
354,0x162,ModTab:72Hz,RWs,uint,m%,100,0,100,Modulation index at 71.77Hz,,31.29/56.0/81.0,admin
355,0x163,ModTab:74Hz,RWs,uint,m%,100,0,100,Modulation index at 73.83Hz,,31.99/57.0/81.5,admin
356,0x164,ModTab:76Hz,RWs,uint,m%,100,0,100,Modulation index at 75.90Hz,,32.67/58.0/82.0,admin
357,0x165,ModTab:78Hz,RWs,uint,m%,100,0,100,Modulation index at 77.96Hz,,33.48/59.0/82.5,admin
358,0x166,ModTab:80Hz,RWs,uint,m%,100,0,100,Modulation index at 80.03Hz,,34.37/60.0/83.0,admin
359,0x167,ModTab:82Hz,RWs,uint,m%,100,0,100,Modulation index at 82.10Hz,,35.29/61.0/83.5,admin
360,0x168,ModTab:84Hz,RWs,uint,m%,100,0,100,Modulation index at 84.18Hz,,36.15/62.0/84.0,admin
361,0x169,ModTab:86Hz,RWs,uint,m%,100,0,100,Modulation index at 86.26Hz,,36.94/63.0/84.5,admin
362,0x16A,ModTab:88Hz,RWs,uint,m%,100,0,100,Modulation index at 88.34Hz,,37.74/64.0/85.0,admin
363,0x16B,ModTab:90Hz,RWs,uint,m%,100,0,100,Modulation index at 90.44Hz,,38.54/65.0/87.0,admin
364,0x16C,ModTab:93Hz,RWs,uint,m%,100,0,100,Modulation index at 92.53Hz,,39.32/66.0/89.0,admin
365,0x16D,ModTab:95Hz,RWs,uint,m%,100,0,100,Modulation index at 94.64Hz,,40.14/67.0/91.0,admin
366,0x16E,ModTab:97Hz,RWs,uint,m%,100,0,100,Modulation index at 96.75Hz,,40.95/68.0/93.0,admin
367,0x16F,ModTab:99Hz,RWs,uint,m%,100,0,100,Modulation index at 98.87Hz,,41.75/69.0/95.0,admin
368,0x170,ModTab:101Hz,RWs,uint,m%,100,0,100,Modulation index at 101.00Hz,,42.67/70.0/97.0,admin
369,0x171,ModTab:103Hz,RWs,uint,m%,100,0,100,Modulation index at 103.15Hz,,43.61/71.0/99.0,admin
370,0x172,ModTab:105Hz,RWs,uint,m%,100,0,100,Modulation index at 105.31Hz,,44.52/72.0/100.0,admin
371,0x173,ModTab:107Hz,RWs,uint,m%,100,0,100,Modulation index at 107.48Hz,,45.45/73.0/100.0,admin
372,0x174,ModTab:110Hz,RWs,uint,m%,100,0,100,Modulation index at 109.68Hz,,46.4/73.5/100.0,admin
373,0x175,ModTab:112Hz,RWs,uint,m%,100,0,100,Modulation index at 111.90Hz,,47.35/74.0/100.0,admin
374,0x176,ModTab:114Hz,RWs,uint,m%,100,0,100,Modulation index at 114.14Hz,,48.35/74.25/100.0,admin
375,0x177,ModTab:116Hz,RWs,uint,m%,100,0,100,Modulation index at 116.42Hz,,49.34/74.5/100.0,admin
376,0x178,ModTab:119Hz,RWs,uint,m%,100,0,100,Modulation index at 118.72Hz,,50.38/74.75/100.0,admin
377,0x179,ModTab:121Hz,RWs,uint,m%,100,0,100,Modulation index at 121.07Hz,,51.52/75.0/100.0,admin
378,0x17A,ModTab:123Hz,RWs,uint,m%,100,0,100,Modulation index at 123.46Hz,,52.64/75.25/100.0,admin
379,0x17B,ModTab:126Hz,RWs,uint,m%,100,0,100,Modulation index at 125.90Hz,,53.71/75.5/100.0,admin
380,0x17C,ModTab:128Hz,RWs,uint,m%,100,0,100,Modulation index at 128.40Hz,,54.75/75.75/100.0,admin
381,0x17D,ModTab:131Hz,RWs,uint,m%,100,0,100,Modulation index at 130.97Hz,,55.76/76.0/100.0,admin
382,0x17E,ModTab:134Hz,RWs,uint,m%,100,0,100,Modulation index at 133.62Hz,,56.74/76.25/100.0,admin
383,0x17F,ModTab:136Hz,RWs,uint,m%,100,0,100,Modulation index at 136.35Hz,,57.68/77.1/100.0,admin
384,0x180,ModTab:139Hz,RWs,uint,m%,100,0,100,Modulation index at 139.19Hz,,58.58/78.0/100.0,admin
385,0x181,ModTab:142Hz,RWs,uint,m%,100,0,100,Modulation index at 142.15Hz,,59.35/79.0/100.0,admin
386,0x182,ModTab:145Hz,RWs,uint,m%,100,0,100,Modulation index at 145.24Hz,,60.05/80.0/100.0,admin
387,0x183,ModTab:148Hz,RWs,uint,m%,100,0,100,Modulation index at 148.49Hz,,60.78/81.0/100.0,admin
388,0x184,ModTab:152Hz,RWs,uint,m%,100,0,100,Modulation index at 151.92Hz,,61.52/82.1/100.0,admin
389,0x185,ModTab:156Hz,RWs,uint,m%,100,0,100,Modulation index at 155.56Hz,,62.3/83.3/100.0,admin
390,0x186,ModTab:159Hz,RWs,uint,m%,100,0,100,Modulation index at 159.43Hz,,63.08/84.5/100.0,admin
391,0x187,ModTab:164Hz,RWs,uint,m%,100,0,100,Modulation index at 163.58Hz,,63.83/85.9/100.0,admin
392,0x188,ModTab:168Hz,RWs,uint,m%,100,0,100,Modulation index at 168.04Hz,,64.6/87.3/100.0,admin
393,0x189,ModTab:173Hz,RWs,uint,m%,100,0,100,Modulation index at 172.86Hz,,65.38/88.8/100.0,admin
394,0x18A,ModTab:178Hz,RWs,uint,m%,100,0,100,Modulation index at 178.10Hz,,66.13/90.5/100.0,admin
395,0x18B,ModTab:184Hz,RWs,uint,m%,100,0,100,Modulation index at 183.82Hz,,66.9/92.3/100.0,admin
396,0x18C,ModTab:190Hz,RWs,uint,m%,100,0,100,Modulation index at 190.08Hz,,67.68/94.3/100.0,admin
397,0x18D,ModTab:197Hz,RWs,uint,m%,100,0,100,Modulation index at 196.98Hz,,68.43/96.6/100.0,admin
398,0x18E,ModTab:205Hz,RWs,uint,m%,100,0,100,Modulation index at 204.60Hz,,69.2/99.0/100.0,admin
399,0x18F,ModTab:213Hz,RWs,uint,m%,100,0,100,Modulation index at 213.06Hz,,69.97/99.19/100.0,admin
400,0x190,ModTab:222Hz,RWs,uint,m%,100,0,100,Modulation index at 222.48Hz,,70.68/99.31/100.0,admin
401,0x191,ModTab:233Hz,RWs,uint,m%,100,0,100,Modulation index at 233.00Hz,,71.33/99.41/100.0,admin
402,0x192,ModTab:245Hz,RWs,uint,m%,100,0,100,Modulation index at 244.79Hz,,72/99.5/100.0,admin
403,0x193,ModTab:258Hz,RWs,uint,m%,100,0,100,Modulation index at 258.03Hz,,72.68/99.59/100.0,admin
404,0x194,ModTab:273Hz,RWs,uint,m%,100,0,100,Modulation index at 272.96Hz,,73.25/99.69/100.0,admin
405,0x195,ModTab:290Hz,RWs,uint,m%,100,0,100,Modulation index at 289.81Hz,,73.72/99.81/100.0,admin
406,0x196,ModTab:309Hz,RWs,uint,m%,100,0,100,Modulation index at 308.87Hz,,74.2/99.91/100.0,admin
407,0x197,ModTab:330Hz,RWs,uint,m%,100,0,100,Modulation index at 330.49Hz,,74.68/100.0/100.0,admin
408,0x198,ModTab:355Hz,RWs,uint,m%,100,0,100,Modulation index at 355.03Hz,,75.07/100.0/100.0,admin
409,0x199,ModTab:383Hz,RWs,uint,m%,100,0,100,Modulation index at 382.95Hz,,75.38/100.0/100.0,admin
410,0x19A,ModTab:415Hz,RWs,uint,m%,100,0,100,Modulation index at 414.73Hz,,75.55/100.0/100.0,admin
411,0x19B,ModTab:451Hz,RWs,uint,m%,100,0,100,Modulation index at 450.97Hz,,75.65/100.0/100.0,admin
412,0x19C,ModTab:492Hz,RWs,uint,m%,100,0,100,Modulation index at 492.32Hz,,75.78/100.0/100.0,admin
413,0x19D,ModTab:540Hz,RWs,uint,m%,100,0,100,Modulation index at 539.56Hz,,75.88/100.0/100.0,admin
414,0x19E,ModTab:594Hz,RWs,uint,m%,100,0,100,Modulation index at 593.57Hz,,75.93/100.0/100.0,admin
415,0x19F,ModTab:655Hz,RWs,uint,m%,100,0,100,Modulation index at 655.35Hz,,76/100.0/100.0,admin
416,0x1A0,Flow:PwrMax100rpm,RWs,uint,W,1,0,65535,Max power at 100rpm (normalizes load axis),,0/0/2,admin
417,0x1A1,Flow:PwrMax200rpm,RWs,uint,W,1,0,65535,Max power at 200rpm (normalizes load axis),,0/2/17,admin
418,0x1A2,Flow:PwrMax300rpm,RWs,uint,W,1,0,65535,Max power at 300rpm (normalizes load axis),,2/6/58,admin
419,0x1A3,Flow:PwrMax400rpm,RWs,uint,W,1,0,65535,Max power at 400rpm (normalizes load axis),,4/15/137,admin
420,0x1A4,Flow:PwrMax500rpm,RWs,uint,W,1,0,65535,Max power at 500rpm (normalizes load axis),,7/28/267,admin
421,0x1A5,Flow:PwrMax600rpm,RWs,uint,W,1,0,65535,Max power at 600rpm (normalizes load axis),,12/49/461,admin
422,0x1A6,Flow:PwrMax700rpm,RWs,uint,W,1,0,65535,Max power at 700rpm (normalizes load axis),,19/78/733,admin
423,0x1A7,Flow:PwrMax800rpm,RWs,uint,W,1,0,65535,Max power at 800rpm (normalizes load axis),,28/117/1093,admin
424,0x1A8,Flow:PwrMax1000rpm,RWs,uint,W,1,0,65535,Max power at 1000rpm (normalizes load axis),,56/228/2136,admin
425,0x1A9,Flow:PwrMax1200rpm,RWs,uint,W,1,0,65535,Max power at 1200rpm (normalizes load axis),,96/393/3690,admin
426,0x1AA,Flow:PwrMax1400rpm,RWs,uint,W,1,0,65535,Max power at 1400rpm (normalizes load axis),,153/624/5860,admin
427,0x1AB,Flow:PwrMax1600rpm,RWs,uint,W,1,0,65535,Max power at 1600rpm (normalizes load axis),,228/932/7500,admin
428,0x1AC,Flow:PwrMax1800rpm,RWs,uint,W,1,0,65535,Max power at 1800rpm (normalizes load axis),,325/1327/7500,admin
429,0x1AD,Flow:PwrMax2000rpm,RWs,uint,W,1,0,65535,Max power at 2000rpm (normalizes load axis),,445/1821/7500,admin
430,0x1AE,Flow:PwrMax2200rpm,RWs,uint,W,1,0,65535,Max power at 2200rpm (normalizes load axis),,593/2423/7500,admin
431,0x1AF,Flow:PwrMax2400rpm,RWs,uint,W,1,0,65535,Max power at 2400rpm (normalizes load axis),,769/3146/7500,admin
432,0x1B0,Flow:PwrMax2600rpm,RWs,uint,W,1,0,65535,Max power at 2600rpm (normalizes load axis),,978/4000/7500,admin
433,0x1B1,Flow:PwrMax2800rpm,RWs,uint,W,1,0,65535,Max power at 2800rpm (normalizes load axis),,1222/4000/7500,admin
434,0x1B2,Flow:PwrMax3000rpm,RWs,uint,W,1,0,65535,Max power at 3000rpm (normalizes load axis),,1503/4000/7500,admin
435,0x1B3,Flow:PwrMax3200rpm,RWs,uint,W,1,0,65535,Max power at 3200rpm (normalizes load axis),,1824/4000/7500,admin
436,0x1B4,Flow:PwrMax3400rpm,RWs,uint,W,1,0,65535,Max power at 3400rpm (normalizes load axis),,2000/4000/7500,admin
437,0x1B5,Flow:PwrMax3600rpm,RWs,uint,W,1,0,65535,Max power at 3600rpm (normalizes load axis),,2000/4000/7500,admin
438,0x1B6,Flow:PwrMax3800rpm,RWs,uint,W,1,0,65535,Max power at 3800rpm (normalizes load axis),,2000/4000/7500,admin
439,0x1B7,Flow:PwrMax4000rpm,RWs,uint,W,1,0,65535,Max power at 4000rpm (normalizes load axis),,2000/4000/7500,admin
440,0x1B8,Flow:100rpm10pct,RWs,uint,m³/h,1,0,65535,Flow at 100rpm and 10% load,,15/46/145,admin
441,0x1B9,Flow:100rpm20pct,RWs,uint,m³/h,1,0,65535,Flow at 100rpm and 20% load,,30/92/289,admin
442,0x1BA,Flow:100rpm30pct,RWs,uint,m³/h,1,0,65535,Flow at 100rpm and 30% load,,45/138/434,admin
443,0x1BB,Flow:100rpm40pct,RWs,uint,m³/h,1,0,65535,Flow at 100rpm and 40% load,,61/185/579,admin
444,0x1BC,Flow:100rpm50pct,RWs,uint,m³/h,1,0,65535,Flow at 100rpm and 50% load,,76/231/724,admin
445,0x1BD,Flow:100rpm60pct,RWs,uint,m³/h,1,0,65535,Flow at 100rpm and 60% load,,91/277/868,admin
446,0x1BE,Flow:100rpm70pct,RWs,uint,m³/h,1,0,65535,Flow at 100rpm and 70% load,,106/323/1013,admin
447,0x1BF,Flow:100rpm80pct,RWs,uint,m³/h,1,0,65535,Flow at 100rpm and 80% load,,121/369/1158,admin
448,0x1C0,Flow:100rpm90pct,RWs,uint,m³/h,1,0,65535,Flow at 100rpm and 90% load,,136/415/1303,admin
449,0x1C1,Flow:100rpm100pct,RWs,uint,m³/h,1,0,65535,Flow at 100rpm and 100% load,,152/462/1447,admin
450,0x1C2,Flow:200rpm10pct,RWs,uint,m³/h,1,0,65535,Flow at 200rpm and 10% load,,30/92/289,admin
451,0x1C3,Flow:200rpm20pct,RWs,uint,m³/h,1,0,65535,Flow at 200rpm and 20% load,,61/185/579,admin
452,0x1C4,Flow:200rpm30pct,RWs,uint,m³/h,1,0,65535,Flow at 200rpm and 30% load,,91/277/868,admin
453,0x1C5,Flow:200rpm40pct,RWs,uint,m³/h,1,0,65535,Flow at 200rpm and 40% load,,121/369/1158,admin
454,0x1C6,Flow:200rpm50pct,RWs,uint,m³/h,1,0,65535,Flow at 200rpm and 50% load,,152/462/1447,admin
455,0x1C7,Flow:200rpm60pct,RWs,uint,m³/h,1,0,65535,Flow at 200rpm and 60% load,,182/554/1737,admin
456,0x1C8,Flow:200rpm70pct,RWs,uint,m³/h,1,0,65535,Flow at 200rpm and 70% load,,212/646/2026,admin
457,0x1C9,Flow:200rpm80pct,RWs,uint,m³/h,1,0,65535,Flow at 200rpm and 80% load,,242/738/2316,admin
458,0x1CA,Flow:200rpm90pct,RWs,uint,m³/h,1,0,65535,Flow at 200rpm and 90% load,,273/831/2605,admin
459,0x1CB,Flow:200rpm100pct,RWs,uint,m³/h,1,0,65535,Flow at 200rpm and 100% load,,303/923/2895,admin
460,0x1CC,Flow:300rpm10pct,RWs,uint,m³/h,1,0,65535,Flow at 300rpm and 10% load,,45/138/434,admin
461,0x1CD,Flow:300rpm20pct,RWs,uint,m³/h,1,0,65535,Flow at 300rpm and 20% load,,91/277/868,admin
462,0x1CE,Flow:300rpm30pct,RWs,uint,m³/h,1,0,65535,Flow at 300rpm and 30% load,,136/415/1303,admin
463,0x1CF,Flow:300rpm40pct,RWs,uint,m³/h,1,0,65535,Flow at 300rpm and 40% load,,182/554/1737,admin
464,0x1D0,Flow:300rpm50pct,RWs,uint,m³/h,1,0,65535,Flow at 300rpm and 50% load,,227/692/2171,admin
465,0x1D1,Flow:300rpm60pct,RWs,uint,m³/h,1,0,65535,Flow at 300rpm and 60% load,,273/831/2605,admin
466,0x1D2,Flow:300rpm70pct,RWs,uint,m³/h,1,0,65535,Flow at 300rpm and 70% load,,318/969/3039,admin
467,0x1D3,Flow:300rpm80pct,RWs,uint,m³/h,1,0,65535,Flow at 300rpm and 80% load,,364/1108/3474,admin
468,0x1D4,Flow:300rpm90pct,RWs,uint,m³/h,1,0,65535,Flow at 300rpm and 90% load,,409/1246/3908,admin
469,0x1D5,Flow:300rpm100pct,RWs,uint,m³/h,1,0,65535,Flow at 300rpm and 100% load,,455/1385/4342,admin
470,0x1D6,Flow:400rpm10pct,RWs,uint,m³/h,1,0,65535,Flow at 400rpm and 10% load,,61/185/579,admin
471,0x1D7,Flow:400rpm20pct,RWs,uint,m³/h,1,0,65535,Flow at 400rpm and 20% load,,121/369/1158,admin
472,0x1D8,Flow:400rpm30pct,RWs,uint,m³/h,1,0,65535,Flow at 400rpm and 30% load,,182/554/1737,admin
473,0x1D9,Flow:400rpm40pct,RWs,uint,m³/h,1,0,65535,Flow at 400rpm and 40% load,,242/738/2316,admin
474,0x1DA,Flow:400rpm50pct,RWs,uint,m³/h,1,0,65535,Flow at 400rpm and 50% load,,303/923/2895,admin
475,0x1DB,Flow:400rpm60pct,RWs,uint,m³/h,1,0,65535,Flow at 400rpm and 60% load,,364/1108/3474,admin
476,0x1DC,Flow:400rpm70pct,RWs,uint,m³/h,1,0,65535,Flow at 400rpm and 70% load,,424/1292/4053,admin
477,0x1DD,Flow:400rpm80pct,RWs,uint,m³/h,1,0,65535,Flow at 400rpm and 80% load,,485/1477/4632,admin
478,0x1DE,Flow:400rpm90pct,RWs,uint,m³/h,1,0,65535,Flow at 400rpm and 90% load,,545/1662/5211,admin
479,0x1DF,Flow:400rpm100pct,RWs,uint,m³/h,1,0,65535,Flow at 400rpm and 100% load,,606/1846/5789,admin
480,0x1E0,Flow:500rpm10pct,RWs,uint,m³/h,1,0,65535,Flow at 500rpm and 10% load,,76/231/724,admin
481,0x1E1,Flow:500rpm20pct,RWs,uint,m³/h,1,0,65535,Flow at 500rpm and 20% load,,152/462/1447,admin
482,0x1E2,Flow:500rpm30pct,RWs,uint,m³/h,1,0,65535,Flow at 500rpm and 30% load,,227/692/2171,admin
483,0x1E3,Flow:500rpm40pct,RWs,uint,m³/h,1,0,65535,Flow at 500rpm and 40% load,,303/923/2895,admin
484,0x1E4,Flow:500rpm50pct,RWs,uint,m³/h,1,0,65535,Flow at 500rpm and 50% load,,379/1154/3618,admin
485,0x1E5,Flow:500rpm60pct,RWs,uint,m³/h,1,0,65535,Flow at 500rpm and 60% load,,455/1385/4342,admin
486,0x1E6,Flow:500rpm70pct,RWs,uint,m³/h,1,0,65535,Flow at 500rpm and 70% load,,530/1615/5066,admin
487,0x1E7,Flow:500rpm80pct,RWs,uint,m³/h,1,0,65535,Flow at 500rpm and 80% load,,606/1846/5789,admin
488,0x1E8,Flow:500rpm90pct,RWs,uint,m³/h,1,0,65535,Flow at 500rpm and 90% load,,682/2077/6513,admin
489,0x1E9,Flow:500rpm100pct,RWs,uint,m³/h,1,0,65535,Flow at 500rpm and 100% load,,758/2308/7237,admin
490,0x1EA,Flow:600rpm10pct,RWs,uint,m³/h,1,0,65535,Flow at 600rpm and 10% load,,91/277/868,admin
491,0x1EB,Flow:600rpm20pct,RWs,uint,m³/h,1,0,65535,Flow at 600rpm and 20% load,,182/554/1737,admin
492,0x1EC,Flow:600rpm30pct,RWs,uint,m³/h,1,0,65535,Flow at 600rpm and 30% load,,273/831/2605,admin
493,0x1ED,Flow:600rpm40pct,RWs,uint,m³/h,1,0,65535,Flow at 600rpm and 40% load,,364/1108/3474,admin
494,0x1EE,Flow:600rpm50pct,RWs,uint,m³/h,1,0,65535,Flow at 600rpm and 50% load,,455/1385/4342,admin
495,0x1EF,Flow:600rpm60pct,RWs,uint,m³/h,1,0,65535,Flow at 600rpm and 60% load,,545/1662/5211,admin
496,0x1F0,Flow:600rpm70pct,RWs,uint,m³/h,1,0,65535,Flow at 600rpm and 70% load,,636/1938/6079,admin
497,0x1F1,Flow:600rpm80pct,RWs,uint,m³/h,1,0,65535,Flow at 600rpm and 80% load,,727/2215/6947,admin
